user_id,created_at,company_id,language,activated_at,state,"(user_id, created_at, company_id, language, activated_at, state)"
121,13/01/13 15:04,9770,chinese,13/01/13 15:05,active,"('121','41287.6277777778','9770','chinese','41287.6284722222','active'),"
123,14/01/13 15:12,219,spanish,14/01/13 15:14,active,"('123','41288.6333333333','219','spanish','41288.6347222222','active'),"
124,14/01/13 20:22,9039,german,14/01/13 20:24,active,"('124','41288.8486111111','9039','german','41288.85','active'),"
128,14/01/13 18:39,2470,russian,14/01/13 18:40,active,"('128','41288.7770833333','2470','russian','41288.7777777778','active'),"
129,14/01/13 10:08,6,spanish,14/01/13 10:10,active,"('129','41288.4222222222','6','spanish','41288.4236111111','active'),"
130,14/01/13 10:04,2,german,14/01/13 10:05,active,"('130','41288.4194444444','2','german','41288.4201388889','active'),"
132,14/01/13 9:09,23,portugese,14/01/13 9:10,active,"('132','41288.38125','23','portugese','41288.3819444444','active'),"
133,14/01/13 0:17,101,french,14/01/13 0:19,active,"('133','41288.0118055556','101','french','41288.0131944444','active'),"
134,14/01/13 9:34,1914,japanese,14/01/13 9:36,active,"('134','41288.3986111111','1914','japanese','41288.4','active'),"
136,15/01/13 14:33,11080,spanish,15/01/13 14:35,active,"('136','41289.60625','11080','spanish','41289.6076388889','active'),"
137,15/01/13 8:50,2837,english,15/01/13 8:51,active,"('137','41289.3680555556','2837','english','41289.36875','active'),"
138,15/01/13 23:36,2541,indian,15/01/13 23:37,active,"('138','41289.9833333333','2541','indian','41289.9840277778','active'),"
139,15/01/13 16:16,467,japanese,15/01/13 16:17,active,"('139','41289.6777777778','467','japanese','41289.6784722222','active'),"
140,15/01/13 13:01,11088,japanese,15/01/13 13:03,active,"('140','41289.5423611111','11088','japanese','41289.54375','active'),"
142,15/01/13 11:16,2861,english,15/01/13 11:18,active,"('142','41289.4694444444','2861','english','41289.4708333333','active'),"
143,15/01/13 0:14,2,indian,15/01/13 0:16,active,"('143','41289.0097222222','2','indian','41289.0111111111','active'),"
144,15/01/13 17:07,36,english,15/01/13 17:09,active,"('144','41289.7131944444','36','english','41289.7145833333','active'),"
145,15/01/13 9:53,1118,english,15/01/13 9:54,active,"('145','41289.4118055556','1118','english','41289.4125','active'),"
149,15/01/13 14:16,2872,english,15/01/13 14:18,active,"('149','41289.5944444444','2872','english','41289.5958333333','active'),"
150,15/01/13 11:24,908,english,15/01/13 11:26,active,"('150','41289.475','908','english','41289.4763888889','active'),"
151,16/01/13 14:40,511,english,16/01/13 14:41,active,"('151','41290.6111111111','511','english','41290.6118055556','active'),"
153,16/01/13 17:59,1256,english,16/01/13 18:01,active,"('153','41290.7493055556','1256','english','41290.7506944444','active'),"
154,16/01/13 12:29,5385,english,16/01/13 12:30,active,"('154','41290.5201388889','5385','english','41290.5208333333','active'),"
155,16/01/13 14:40,2889,english,16/01/13 14:41,active,"('155','41290.6111111111','2889','english','41290.6118055556','active'),"
156,16/01/13 18:49,1210,english,16/01/13 18:51,active,"('156','41290.7840277778','1210','english','41290.7854166667','active'),"
159,16/01/13 11:58,5849,english,16/01/13 11:59,active,"('159','41290.4986111111','5849','english','41290.4993055556','active'),"
163,16/01/13 11:35,1092,arabic,16/01/13 11:36,active,"('163','41290.4826388889','1092','arabic','41290.4833333333','active'),"
165,17/01/13 7:12,6230,spanish,17/01/13 7:14,active,"('165','41291.3','6230','spanish','41291.3013888889','active'),"
166,17/01/13 17:23,12205,english,17/01/13 17:25,active,"('166','41291.7243055556','12205','english','41291.7256944444','active'),"
167,17/01/13 7:00,1214,english,17/01/13 7:01,active,"('167','41291.2916666667','1214','english','41291.2923611111','active'),"
170,17/01/13 9:14,11,english,17/01/13 9:15,active,"('170','41291.3847222222','11','english','41291.3854166667','active'),"
171,17/01/13 17:54,13001,korean,17/01/13 17:56,active,"('171','41291.7458333333','13001','korean','41291.7472222222','active'),"
172,17/01/13 5:13,4196,chinese,17/01/13 5:14,active,"('172','41291.2173611111','4196','chinese','41291.2180555556','active'),"
173,17/01/13 17:25,11339,french,17/01/13 17:26,active,"('173','41291.7256944444','11339','french','41291.7263888889','active'),"
175,17/01/13 12:04,3717,french,17/01/13 12:05,active,"('175','41291.5027777778','3717','french','41291.5034722222','active'),"
177,17/01/13 7:11,11952,italian,17/01/13 7:13,active,"('177','41291.2993055556','11952','italian','41291.3006944444','active'),"
178,18/01/13 17:51,2730,spanish,18/01/13 17:52,active,"('178','41292.74375','2730','spanish','41292.7444444444','active'),"
179,18/01/13 8:24,2976,portugese,18/01/13 8:25,active,"('179','41292.35','2976','portugese','41292.3506944444','active'),"
181,18/01/13 13:06,2882,spanish,18/01/13 13:08,active,"('181','41292.5458333333','2882','spanish','41292.5472222222','active'),"
182,18/01/13 1:04,2596,indian,18/01/13 1:05,active,"('182','41292.0444444444','2596','indian','41292.0451388889','active'),"
184,18/01/13 17:08,6426,french,18/01/13 17:09,active,"('184','41292.7138888889','6426','french','41292.7145833333','active'),"
185,18/01/13 18:59,3109,english,18/01/13 19:00,active,"('185','41292.7909722222','3109','english','41292.7916666667','active'),"
186,18/01/13 16:10,753,chinese,18/01/13 16:11,active,"('186','41292.6736111111','753','chinese','41292.6743055556','active'),"
188,18/01/13 11:16,130,japanese,18/01/13 11:18,active,"('188','41292.4694444444','130','japanese','41292.4708333333','active'),"
190,18/01/13 9:03,12823,english,18/01/13 9:04,active,"('190','41292.3770833333','12823','english','41292.3777777778','active'),"
191,18/01/13 2:54,10553,english,18/01/13 2:55,active,"('191','41292.1208333333','10553','english','41292.1215277778','active'),"
194,19/01/13 18:48,36,english,19/01/13 18:50,active,"('194','41293.7833333333','36','english','41293.7847222222','active'),"
196,20/01/13 17:47,1346,japanese,20/01/13 17:49,active,"('196','41294.7409722222','1346','japanese','41294.7423611111','active'),"
201,21/01/13 9:34,8624,english,21/01/13 9:35,active,"('201','41295.3986111111','8624','english','41295.3993055556','active'),"
203,21/01/13 9:36,11741,japanese,21/01/13 9:38,active,"('203','41295.4','11741','japanese','41295.4013888889','active'),"
206,21/01/13 18:56,5730,english,21/01/13 18:58,active,"('206','41295.7888888889','5730','english','41295.7902777778','active'),"
208,21/01/13 11:54,7314,french,21/01/13 11:56,active,"('208','41295.4958333333','7314','french','41295.4972222222','active'),"
209,21/01/13 17:07,14,english,21/01/13 17:08,active,"('209','41295.7131944444','14','english','41295.7138888889','active'),"
211,21/01/13 14:51,748,spanish,21/01/13 14:52,active,"('211','41295.61875','748','spanish','41295.6194444444','active'),"
212,21/01/13 19:49,4582,indian,21/01/13 19:51,active,"('212','41295.8256944444','4582','indian','41295.8270833333','active'),"
214,22/01/13 10:38,44,russian,22/01/13 10:40,active,"('214','41296.4430555556','44','russian','41296.4444444444','active'),"
215,22/01/13 2:11,36,english,22/01/13 2:13,active,"('215','41296.0909722222','36','english','41296.0923611111','active'),"
217,22/01/13 12:09,4001,english,22/01/13 12:10,active,"('217','41296.50625','4001','english','41296.5069444444','active'),"
220,22/01/13 11:23,7,english,22/01/13 11:24,active,"('220','41296.4743055556','7','english','41296.475','active'),"
221,22/01/13 22:09,2234,chinese,22/01/13 22:11,active,"('221','41296.9229166667','2234','chinese','41296.9243055556','active'),"
226,23/01/13 11:35,6489,english,23/01/13 11:37,active,"('226','41297.4826388889','6489','english','41297.4840277778','active'),"
227,23/01/13 12:17,6,english,23/01/13 12:19,active,"('227','41297.5118055556','6','english','41297.5131944444','active'),"
228,23/01/13 20:10,5155,english,23/01/13 20:11,active,"('228','41297.8402777778','5155','english','41297.8409722222','active'),"
230,23/01/13 11:16,5386,french,23/01/13 11:17,active,"('230','41297.4694444444','5386','french','41297.4701388889','active'),"
232,23/01/13 6:51,9781,spanish,23/01/13 6:53,active,"('232','41297.2854166667','9781','spanish','41297.2868055556','active'),"
235,23/01/13 15:10,893,indian,23/01/13 15:11,active,"('235','41297.6319444444','893','indian','41297.6326388889','active'),"
239,23/01/13 15:06,9059,japanese,23/01/13 15:08,active,"('239','41297.6291666667','9059','japanese','41297.6305555556','active'),"
243,24/01/13 12:53,4181,spanish,24/01/13 12:54,active,"('243','41298.5368055556','4181','spanish','41298.5375','active'),"
244,24/01/13 15:09,4199,english,24/01/13 15:11,active,"('244','41298.63125','4199','english','41298.6326388889','active'),"
246,24/01/13 11:25,5,german,24/01/13 11:26,active,"('246','41298.4756944444','5','german','41298.4763888889','active'),"
247,24/01/13 15:19,3977,chinese,24/01/13 15:20,active,"('247','41298.6381944444','3977','chinese','41298.6388888889','active'),"
253,24/01/13 22:21,11615,english,24/01/13 22:22,active,"('253','41298.93125','11615','english','41298.9319444444','active'),"
254,25/01/13 13:43,3715,arabic,25/01/13 13:44,active,"('254','41299.5715277778','3715','arabic','41299.5722222222','active'),"
259,25/01/13 13:17,5165,english,25/01/13 13:18,active,"('259','41299.5534722222','5165','english','41299.5541666667','active'),"
260,25/01/13 2:58,609,chinese,25/01/13 2:59,active,"('260','41299.1236111111','609','chinese','41299.1243055556','active'),"
261,25/01/13 19:32,1103,english,25/01/13 19:34,active,"('261','41299.8138888889','1103','english','41299.8152777778','active'),"
262,25/01/13 11:18,284,italian,25/01/13 11:20,active,"('262','41299.4708333333','284','italian','41299.4722222222','active'),"
264,25/01/13 11:02,56,japanese,25/01/13 11:03,active,"('264','41299.4597222222','56','japanese','41299.4604166667','active'),"
266,25/01/13 15:09,8842,english,25/01/13 15:10,active,"('266','41299.63125','8842','english','41299.6319444444','active'),"
268,25/01/13 10:45,193,english,25/01/13 10:47,active,"('268','41299.4479166667','193','english','41299.4493055556','active'),"
270,26/01/13 8:40,11925,french,26/01/13 8:42,active,"('270','41300.3611111111','11925','french','41300.3625','active'),"
271,26/01/13 16:27,39,english,26/01/13 16:28,active,"('271','41300.6854166667','39','english','41300.6861111111','active'),"
272,26/01/13 13:03,10758,chinese,26/01/13 13:04,active,"('272','41300.54375','10758','chinese','41300.5444444444','active'),"
276,27/01/13 13:56,2225,italian,27/01/13 13:58,active,"('276','41301.5805555556','2225','italian','41301.5819444444','active'),"
278,28/01/13 16:36,5,english,28/01/13 16:38,active,"('278','41302.6916666667','5','english','41302.6930555556','active'),"
281,28/01/13 10:46,175,english,28/01/13 10:48,active,"('281','41302.4486111111','175','english','41302.45','active'),"
285,28/01/13 11:13,11340,german,28/01/13 11:14,active,"('285','41302.4673611111','11340','german','41302.4680555556','active'),"
286,28/01/13 5:44,12299,japanese,28/01/13 5:45,active,"('286','41302.2388888889','12299','japanese','41302.2395833333','active'),"
287,28/01/13 6:55,4590,english,28/01/13 6:56,active,"('287','41302.2881944444','4590','english','41302.2888888889','active'),"
288,28/01/13 23:39,8264,russian,28/01/13 23:41,active,"('288','41302.9854166667','8264','russian','41302.9868055556','active'),"
289,28/01/13 0:14,150,german,28/01/13 0:16,active,"('289','41302.0097222222','150','german','41302.0111111111','active'),"
297,29/01/13 15:01,9077,indian,29/01/13 15:02,active,"('297','41303.6256944444','9077','indian','41303.6263888889','active'),"
300,29/01/13 19:58,624,russian,29/01/13 20:00,active,"('300','41303.8319444444','624','russian','41303.8333333333','active'),"
301,29/01/13 9:18,3,arabic,29/01/13 9:19,active,"('301','41303.3875','3','arabic','41303.3881944444','active'),"
305,30/01/13 10:22,9876,indian,30/01/13 10:24,active,"('305','41304.4319444444','9876','indian','41304.4333333333','active'),"
306,30/01/13 10:24,6,japanese,30/01/13 10:26,active,"('306','41304.4333333333','6','japanese','41304.4347222222','active'),"
307,30/01/13 17:48,8,japanese,30/01/13 17:50,active,"('307','41304.7416666667','8','japanese','41304.7430555556','active'),"
309,30/01/13 14:39,94,portugese,30/01/13 14:41,active,"('309','41304.6104166667','94','portugese','41304.6118055556','active'),"
312,30/01/13 4:20,13011,english,30/01/13 4:21,active,"('312','41304.1805555556','13011','english','41304.18125','active'),"
318,30/01/13 15:53,4801,arabic,30/01/13 15:54,active,"('318','41304.6618055556','4801','arabic','41304.6625','active'),"
319,31/01/13 0:34,3,spanish,31/01/13 0:35,active,"('319','41305.0236111111','3','spanish','41305.0243055556','active'),"
321,31/01/13 18:04,12769,arabic,31/01/13 18:06,active,"('321','41305.7527777778','12769','arabic','41305.7541666667','active'),"
322,31/01/13 16:48,85,portugese,31/01/13 16:49,active,"('322','41305.7','85','portugese','41305.7006944444','active'),"
323,31/01/13 18:52,3852,english,31/01/13 18:54,active,"('323','41305.7861111111','3852','english','41305.7875','active'),"
326,31/01/13 16:28,3431,french,31/01/13 16:29,active,"('326','41305.6861111111','3431','french','41305.6868055556','active'),"
330,31/01/13 10:54,6999,japanese,31/01/13 10:56,active,"('330','41305.4541666667','6999','japanese','41305.4555555556','active'),"
332,01/02/13 16:27,219,english,01/02/13 16:28,active,"('332','41306.6854166667','219','english','41306.6861111111','active'),"
335,01/02/13 7:47,2930,spanish,01/02/13 7:48,active,"('335','41306.3243055556','2930','spanish','41306.325','active'),"
338,01/02/13 10:17,2,spanish,01/02/13 10:19,active,"('338','41306.4284722222','2','spanish','41306.4298611111','active'),"
341,01/02/13 21:52,4201,english,01/02/13 21:54,active,"('341','41306.9111111111','4201','english','41306.9125','active'),"
345,02/02/13 15:23,10442,english,02/02/13 15:25,active,"('345','41307.6409722222','10442','english','41307.6423611111','active'),"
346,02/02/13 18:28,6010,english,02/02/13 18:30,active,"('346','41307.7694444444','6010','english','41307.7708333333','active'),"
347,02/02/13 20:05,10,german,02/02/13 20:07,active,"('347','41307.8368055556','10','german','41307.8381944444','active'),"
349,03/02/13 23:35,7321,arabic,03/02/13 23:37,active,"('349','41308.9826388889','7321','arabic','41308.9840277778','active'),"
353,04/02/13 10:32,4122,english,04/02/13 10:33,active,"('353','41309.4388888889','4122','english','41309.4395833333','active'),"
355,04/02/13 21:35,12167,chinese,04/02/13 21:37,active,"('355','41309.8993055556','12167','chinese','41309.9006944444','active'),"
359,04/02/13 15:58,8083,english,04/02/13 16:00,active,"('359','41309.6652777778','8083','english','41309.6666666667','active'),"
360,04/02/13 19:33,10506,spanish,04/02/13 19:34,active,"('360','41309.8145833333','10506','spanish','41309.8152777778','active'),"
361,04/02/13 13:09,1,chinese,04/02/13 13:11,active,"('361','41309.5479166667','1','chinese','41309.5493055556','active'),"
362,04/02/13 13:28,35,japanese,04/02/13 13:30,active,"('362','41309.5611111111','35','japanese','41309.5625','active'),"
363,04/02/13 11:56,12020,english,04/02/13 11:57,active,"('363','41309.4972222222','12020','english','41309.4979166667','active'),"
365,04/02/13 3:53,10053,spanish,04/02/13 3:55,active,"('365','41309.1618055556','10053','spanish','41309.1631944444','active'),"
366,04/02/13 13:07,6145,japanese,04/02/13 13:09,active,"('366','41309.5465277778','6145','japanese','41309.5479166667','active'),"
367,04/02/13 12:41,5886,english,04/02/13 12:42,active,"('367','41309.5284722222','5886','english','41309.5291666667','active'),"
369,05/02/13 14:28,5596,english,05/02/13 14:30,active,"('369','41310.6027777778','5596','english','41310.6041666667','active'),"
370,05/02/13 14:17,6795,french,05/02/13 14:18,active,"('370','41310.5951388889','6795','french','41310.5958333333','active'),"
372,05/02/13 14:39,1,english,05/02/13 14:41,active,"('372','41310.6104166667','1','english','41310.6118055556','active'),"
373,05/02/13 17:34,9190,spanish,05/02/13 17:35,active,"('373','41310.7319444444','9190','spanish','41310.7326388889','active'),"
374,05/02/13 22:03,9830,japanese,05/02/13 22:04,active,"('374','41310.91875','9830','japanese','41310.9194444444','active'),"
376,05/02/13 8:20,5884,german,05/02/13 8:21,active,"('376','41310.3472222222','5884','german','41310.3479166667','active'),"
377,05/02/13 13:01,6590,english,05/02/13 13:02,active,"('377','41310.5423611111','6590','english','41310.5430555556','active'),"
378,05/02/13 4:00,2376,english,05/02/13 4:02,active,"('378','41310.1666666667','2376','english','41310.1680555556','active'),"
379,05/02/13 8:44,4701,french,05/02/13 8:45,active,"('379','41310.3638888889','4701','french','41310.3645833333','active'),"
380,05/02/13 10:29,4487,japanese,05/02/13 10:30,active,"('380','41310.4368055556','4487','japanese','41310.4375','active'),"
381,05/02/13 0:46,2,english,05/02/13 0:47,active,"('381','41310.0319444444','2','english','41310.0326388889','active'),"
383,05/02/13 23:47,155,arabic,05/02/13 23:48,active,"('383','41310.9909722222','155','arabic','41310.9916666667','active'),"
384,06/02/13 18:30,9,spanish,06/02/13 18:32,active,"('384','41311.7708333333','9','spanish','41311.7722222222','active'),"
385,06/02/13 18:11,159,english,06/02/13 18:13,active,"('385','41311.7576388889','159','english','41311.7590277778','active'),"
388,06/02/13 10:39,7654,spanish,06/02/13 10:40,active,"('388','41311.44375','7654','spanish','41311.4444444444','active'),"
390,06/02/13 20:16,4697,english,06/02/13 20:17,active,"('390','41311.8444444444','4697','english','41311.8451388889','active'),"
393,06/02/13 10:46,3,english,06/02/13 10:47,active,"('393','41311.4486111111','3','english','41311.4493055556','active'),"
397,06/02/13 6:51,9060,english,06/02/13 6:53,active,"('397','41311.2854166667','9060','english','41311.2868055556','active'),"
399,07/02/13 15:40,13075,english,07/02/13 15:42,active,"('399','41312.6527777778','13075','english','41312.6541666667','active'),"
402,07/02/13 18:16,12013,arabic,07/02/13 18:17,active,"('402','41312.7611111111','12013','arabic','41312.7618055556','active'),"
403,07/02/13 15:14,1,russian,07/02/13 15:17,active,"('403','41312.6347222222','1','russian','41312.6368055556','active'),"
404,07/02/13 14:03,3453,english,07/02/13 14:04,active,"('404','41312.5854166667','3453','english','41312.5861111111','active'),"
405,07/02/13 18:25,349,arabic,07/02/13 18:26,active,"('405','41312.7673611111','349','arabic','41312.7680555556','active'),"
406,07/02/13 16:56,10036,english,07/02/13 16:57,active,"('406','41312.7055555556','10036','english','41312.70625','active'),"
408,07/02/13 10:47,36,french,07/02/13 10:48,active,"('408','41312.4493055556','36','french','41312.45','active'),"
409,07/02/13 12:00,1,english,07/02/13 12:01,active,"('409','41312.5','1','english','41312.5006944444','active'),"
411,07/02/13 13:56,868,italian,07/02/13 13:58,active,"('411','41312.5805555556','868','italian','41312.5819444444','active'),"
412,07/02/13 19:13,6078,english,07/02/13 19:14,active,"('412','41312.8006944444','6078','english','41312.8013888889','active'),"
413,08/02/13 15:07,8523,english,08/02/13 15:09,active,"('413','41313.6298611111','8523','english','41313.63125','active'),"
414,08/02/13 15:03,513,indian,08/02/13 15:05,active,"('414','41313.6270833333','513','indian','41313.6284722222','active'),"
417,08/02/13 15:56,1,english,08/02/13 15:57,active,"('417','41313.6638888889','1','english','41313.6645833333','active'),"
420,08/02/13 4:14,5838,english,08/02/13 4:16,active,"('420','41313.1763888889','5838','english','41313.1777777778','active'),"
428,08/02/13 19:02,2,english,08/02/13 19:04,active,"('428','41313.7930555556','2','english','41313.7944444444','active'),"
429,08/02/13 16:34,2876,english,08/02/13 16:36,active,"('429','41313.6902777778','2876','english','41313.6916666667','active'),"
430,08/02/13 12:33,10,chinese,08/02/13 12:35,active,"('430','41313.5229166667','10','chinese','41313.5243055556','active'),"
432,09/02/13 13:01,21,english,09/02/13 13:03,active,"('432','41314.5423611111','21','english','41314.54375','active'),"
434,09/02/13 13:52,329,french,09/02/13 13:54,active,"('434','41314.5777777778','329','french','41314.5791666667','active'),"
437,10/02/13 9:57,8635,portugese,10/02/13 9:59,active,"('437','41315.4145833333','8635','portugese','41315.4159722222','active'),"
439,11/02/13 8:48,2147,german,11/02/13 8:49,active,"('439','41316.3666666667','2147','german','41316.3673611111','active'),"
441,11/02/13 11:33,25,english,11/02/13 11:35,active,"('441','41316.48125','25','english','41316.4826388889','active'),"
443,11/02/13 14:24,4822,english,11/02/13 14:26,active,"('443','41316.6','4822','english','41316.6013888889','active'),"
451,11/02/13 19:44,8999,german,11/02/13 19:46,active,"('451','41316.8222222222','8999','german','41316.8236111111','active'),"
453,12/02/13 14:26,6781,german,12/02/13 14:28,active,"('453','41317.6013888889','6781','german','41317.6027777778','active'),"
454,12/02/13 9:41,6039,french,12/02/13 9:42,active,"('454','41317.4034722222','6039','french','41317.4041666667','active'),"
457,12/02/13 18:13,4485,english,12/02/13 18:15,active,"('457','41317.7590277778','4485','english','41317.7604166667','active'),"
460,12/02/13 8:41,3309,english,12/02/13 8:42,active,"('460','41317.3618055556','3309','english','41317.3625','active'),"
461,12/02/13 11:14,3,korean,12/02/13 11:15,active,"('461','41317.4680555556','3','korean','41317.46875','active'),"
462,12/02/13 22:33,4,korean,12/02/13 22:34,active,"('462','41317.9395833333','4','korean','41317.9402777778','active'),"
464,12/02/13 18:16,1111,russian,12/02/13 18:17,active,"('464','41317.7611111111','1111','russian','41317.7618055556','active'),"
466,12/02/13 18:53,9750,spanish,12/02/13 18:55,active,"('466','41317.7868055556','9750','spanish','41317.7881944444','active'),"
467,12/02/13 11:16,12486,japanese,12/02/13 11:17,active,"('467','41317.4694444444','12486','japanese','41317.4701388889','active'),"
469,13/02/13 15:01,3613,spanish,13/02/13 15:03,active,"('469','41318.6256944444','3613','spanish','41318.6270833333','active'),"
470,13/02/13 15:01,399,english,13/02/13 15:03,active,"('470','41318.6256944444','399','english','41318.6270833333','active'),"
471,13/02/13 14:34,21,chinese,13/02/13 14:35,active,"('471','41318.6069444444','21','chinese','41318.6076388889','active'),"
474,13/02/13 17:15,6032,english,13/02/13 17:16,active,"('474','41318.71875','6032','english','41318.7194444444','active'),"
478,13/02/13 13:11,4410,english,13/02/13 13:12,active,"('478','41318.5493055556','4410','english','41318.55','active'),"
